# Generated using:
# ./run pminer globalperf /tmp/PropagationAnalysis-dataset/musco/ callgraph.xml:callgraph_cha.xml:callgraph_f_cha.xml -v -t -c ";" > cia_perf.csv
"Project";"graph";"Type";"Op";"nbmut";"nbalives";"nunbound";"nisolated";"nbnodes";"nbedges";"CIS";"AIS";"CAIS";"FPIS";"DIS";"prec";"recall";"fscore";"S";"C";"O";"U";"D";"time"
"jgit";"callgraph_f_cha.xml";"avg";"LCR";334;0;0;0;16980;60363;1754.880240;72.943114;71.170659;1683.709581;1.772455;0.117018;0.941715;0.117934;0.011976;0.760479;0.748503;0.035928;0.203593;40.604790
"jgit";"callgraph_f_cha.xml";"avg";"UOI";405;0;0;0;16980;60363;1788.883951;109.844444;107.935802;1680.948148;1.908642;0.138595;0.949771;0.153282;0.017284;0.725926;0.708642;0.024691;0.249383;40.733333
"jgit";"callgraph_f_cha.xml";"avg";"ROR";356;0;0;0;16980;60363;1681.699438;91.278090;89.042135;1592.657303;2.235955;0.157787;0.936585;0.160740;0.014045;0.730337;0.716292;0.039326;0.230337;37.455056
"jgit";"callgraph_f_cha.xml";"avg";"ABS";199;0;0;0;16980;60363;1814.512563;88.175879;85.613065;1728.899497;2.562814;0.121389;0.935412;0.130292;0.020101;0.703518;0.683417;0.025126;0.271357;42.557789
"jgit";"callgraph_f_cha.xml";"avg";"AOR";386;0;0;0;16980;60363;1759.344560;110.593264;108.593264;1650.751295;2.000000;0.147803;0.943356;0.158112;0.015544;0.683938;0.668394;0.031088;0.284974;40.106218
"jgit";"callgraph.xml";"avg";"LCR";334;0;3;0;11687;36490;254.175227;73.580060;36.767372;217.407855;36.812689;0.395430;0.628540;0.195519;0.011976;0.476048;0.464072;0.230539;0.284431;0.870091
"jgit";"callgraph.xml";"avg";"UOI";405;0;6;0;11687;36490;272.208020;111.213033;64.596491;207.611529;46.616541;0.439543;0.635925;0.244519;0.034568;0.471605;0.437037;0.217284;0.296296;1.107769
"jgit";"callgraph.xml";"avg";"ROR";356;0;4;0;11687;36490;241.244318;92.144886;54.468750;186.775568;37.676136;0.478960;0.624728;0.255718;0.028090;0.438202;0.410112;0.255618;0.294944;0.900568
"jgit";"callgraph.xml";"avg";"ABS";199;0;1;0;11687;36490;229.712121;88.611111;52.353535;177.358586;36.257576;0.494313;0.537553;0.219319;0.020101;0.346734;0.326633;0.276382;0.371859;0.898990
"jgit";"callgraph.xml";"avg";"AOR";386;0;5;0;11687;36490;293.469816;111.968504;78.173228;215.296588;33.795276;0.457661;0.651931;0.268993;0.033679;0.435233;0.401554;0.222798;0.329016;1.175853
"jgit";"callgraph_cha.xml";"avg";"LCR";334;0;2;0;12320;38218;610.268072;73.361446;58.927711;551.340361;14.433735;0.187642;0.881040;0.198639;0.011976;0.655689;0.643713;0.038922;0.299401;3.484940
"jgit";"callgraph_cha.xml";"avg";"UOI";405;0;2;0;12320;38218;624.925558;110.208437;98.099256;526.826303;12.109181;0.216438;0.910082;0.236564;0.017284;0.654321;0.637037;0.029630;0.311111;3.672457
"jgit";"callgraph_cha.xml";"avg";"ROR";356;0;1;0;12320;38218;562.211268;91.397183;74.690141;487.521127;16.707042;0.252460;0.883885;0.249112;0.025281;0.617978;0.592697;0.056180;0.323034;3.101408
"jgit";"callgraph_cha.xml";"avg";"ABS";199;0;0;0;12320;38218;595.904523;88.175879;72.663317;523.241206;15.512563;0.228810;0.871922;0.221189;0.020101;0.562814;0.542714;0.055276;0.381910;3.301508
"jgit";"callgraph_cha.xml";"avg";"AOR";386;0;0;0;12320;38218;648.981865;110.593264;98.751295;550.230570;11.841969;0.234268;0.903267;0.238997;0.023316;0.624352;0.601036;0.051813;0.323834;3.834197
"commons-io";"callgraph_f_cha.xml";"avg";"LCR";446;0;0;0;3181;7000;44.834081;4.762332;4.363229;40.470852;0.399103;0.306520;0.923647;0.322290;0.089686;0.883408;0.793722;0.058296;0.058296;0.253363
"commons-io";"callgraph_f_cha.xml";"avg";"UOI";351;0;3;0;3181;7000;71.896552;5.146552;4.560345;67.336207;0.586207;0.409257;0.921748;0.413981;0.250712;0.877493;0.626781;0.054131;0.059829;0.448276
"commons-io";"callgraph_f_cha.xml";"avg";"ROR";454;0;4;0;3181;7000;50.462222;5.773333;4.988889;45.473333;0.784444;0.404574;0.906582;0.413501;0.196035;0.856828;0.660793;0.068282;0.066079;0.291111
"commons-io";"callgraph_f_cha.xml";"avg";"ABS";251;0;2;0;3181;7000;45.839357;5.835341;4.654618;41.184739;1.180723;0.491682;0.830642;0.432532;0.211155;0.792829;0.581673;0.131474;0.067729;0.309237
"commons-io";"callgraph_f_cha.xml";"avg";"AOR";387;0;4;0;3181;7000;80.177546;3.712794;3.258486;76.919060;0.454308;0.397364;0.920731;0.391699;0.268734;0.891473;0.622739;0.054264;0.043928;0.454308
"commons-io";"callgraph.xml";"avg";"LCR";446;0;4;0;2416;4059;16.047511;4.796380;3.812217;12.235294;0.984163;0.424572;0.882657;0.433387;0.098655;0.822870;0.724215;0.091928;0.076233;0.031674
"commons-io";"callgraph.xml";"avg";"UOI";351;0;4;0;2416;4059;13.904899;5.158501;3.827089;10.077810;1.331412;0.538216;0.878757;0.527913;0.256410;0.823362;0.566952;0.102564;0.062678;0.069164
"commons-io";"callgraph.xml";"avg";"ROR";454;0;10;0;2416;4059;11.880631;5.833333;4.132883;7.747748;1.700450;0.598495;0.843340;0.572401;0.240088;0.759912;0.519824;0.127753;0.090308;0.042793
"commons-io";"callgraph.xml";"avg";"ABS";251;0;6;0;2416;4059;10.677551;5.714286;3.848980;6.828571;1.865306;0.619036;0.780585;0.528945;0.231076;0.713147;0.482072;0.199203;0.063745;0.028571
"commons-io";"callgraph.xml";"avg";"AOR";387;0;4;0;2416;4059;13.663185;3.712794;3.062663;10.600522;0.650131;0.505247;0.893767;0.505585;0.271318;0.855297;0.583979;0.080103;0.054264;0.054830
"commons-io";"callgraph_cha.xml";"avg";"LCR";446;0;0;0;2494;4283;19.213004;4.762332;3.885650;15.327354;0.876682;0.385868;0.904426;0.410304;0.098655;0.849776;0.751121;0.078475;0.071749;0.073991
"commons-io";"callgraph_cha.xml";"avg";"UOI";351;0;3;0;2494;4283;16.221264;5.146552;3.939655;12.281609;1.206897;0.499523;0.896882;0.513252;0.256410;0.843305;0.586895;0.079772;0.068376;0.043103
"commons-io";"callgraph_cha.xml";"avg";"ROR";454;0;6;0;2494;4283;15.676339;5.790179;4.272321;11.404018;1.517857;0.534240;0.871775;0.543301;0.240088;0.792952;0.552863;0.096916;0.096916;0.044643
"commons-io";"callgraph_cha.xml";"avg";"ABS";251;0;6;0;2494;4283;13.759184;5.714286;3.918367;9.840816;1.795918;0.556889;0.786763;0.498507;0.227092;0.717131;0.490040;0.159363;0.099602;0.057143
"commons-io";"callgraph_cha.xml";"avg";"AOR";387;0;4;0;2494;4283;15.590078;3.712794;3.104439;12.485640;0.608355;0.477081;0.897684;0.489359;0.271318;0.857881;0.586563;0.069767;0.062016;0.052219
"shindig";"callgraph_f_cha.xml";"avg";"LCR";300;0;4;0;2546;5086;22.952703;5.472973;4.300676;18.652027;1.172297;0.478271;0.799026;0.403937;0.160000;0.776667;0.616667;0.143333;0.066667;0.101351
"shindig";"callgraph_f_cha.xml";"avg";"UOI";251;0;1;0;2546;5086;14.248000;4.848000;3.872000;10.376000;0.976000;0.628408;0.856844;0.562362;0.326693;0.844622;0.517928;0.131474;0.019920;0.068000
"shindig";"callgraph_f_cha.xml";"avg";"ROR";338;0;2;0;2546;5086;20.369048;7.366071;5.517857;14.851190;1.848214;0.548421;0.824634;0.488808;0.213018;0.745562;0.532544;0.133136;0.115385;0.101190
"shindig";"callgraph_f_cha.xml";"avg";"ABS";247;0;0;0;2546;5086;14.979757;3.538462;3.206478;11.773279;0.331984;0.551416;0.896443;0.528539;0.287449;0.866397;0.578947;0.089069;0.044534;0.076923
"shindig";"callgraph_f_cha.xml";"avg";"AOR";314;0;0;0;2546;5086;11.111465;2.652866;2.426752;8.684713;0.226115;0.619149;0.910828;0.584612;0.404459;0.910828;0.506369;0.089172;0.000000;0.038217
"shindig";"callgraph.xml";"avg";"LCR";300;0;25;0;1570;2465;8.840000;5.450909;3.109091;5.730909;2.341818;0.505212;0.683288;0.404001;0.146667;0.596667;0.450000;0.163333;0.156667;0.025455
"shindig";"callgraph.xml";"avg";"UOI";251;0;21;0;1570;2465;6.117391;4.860870;2.721739;3.395652;2.139130;0.608293;0.744407;0.557928;0.322709;0.681275;0.358566;0.107570;0.127490;0.021739
"shindig";"callgraph.xml";"avg";"ROR";338;0;23;0;1570;2465;7.428571;7.701587;3.276190;4.152381;4.425397;0.607681;0.636746;0.447325;0.195266;0.535503;0.340237;0.207101;0.189349;0.025397
"shindig";"callgraph.xml";"avg";"ABS";247;0;19;0;1570;2465;5.815789;3.723684;2.640351;3.175439;1.083333;0.605028;0.751118;0.556765;0.287449;0.668016;0.380567;0.097166;0.157895;0.017544
"shindig";"callgraph.xml";"avg";"AOR";314;0;26;0;1570;2465;4.878472;2.659722;1.826389;3.052083;0.833333;0.568373;0.786766;0.578210;0.388535;0.754777;0.366242;0.038217;0.124204;0.017361
"shindig";"callgraph_cha.xml";"avg";"LCR";300;0;12;0;1682;2713;15.538194;5.399306;3.729167;11.809028;1.670139;0.472468;0.743420;0.413510;0.146667;0.713333;0.566667;0.130000;0.116667;0.052083
"shindig";"callgraph_cha.xml";"avg";"UOI";251;0;18;0;1682;2713;9.188841;4.927039;3.313305;5.875536;1.613734;0.583793;0.810638;0.569825;0.322709;0.796813;0.474104;0.083665;0.047809;0.025751
"shindig";"callgraph_cha.xml";"avg";"ROR";338;0;18;0;1682;2713;13.834375;7.640625;4.303125;9.531250;3.337500;0.519189;0.756354;0.470097;0.198225;0.683432;0.485207;0.115385;0.147929;0.046875
"shindig";"callgraph_cha.xml";"avg";"ABS";247;0;19;0;1682;2713;9.311404;3.723684;3.210526;6.100877;0.513158;0.525875;0.860773;0.572453;0.287449;0.813765;0.526316;0.024291;0.085020;0.030702
