count;max;mutid;#fold;learntime;#E;predtime;#Eon;#inter;+WG;+WT;+WTG;+WO;+WOG;+WN;+WNG;+WT*;+WT*G;+WZ;+WZG
188;599;1358271470677;4;1302932;3033;536;3033;95;47;61;9;1;1;0;0;0;0;0;0
189;599;1358259134463;4;1302932;3033;36;3033;1;0;3;0;0;0;0;0;0;0;0;0
190;599;1358266734325;4;1302932;3033;5;3033;4;2;1;1;1;1;1;1;1;1;1;1
191;599;1358259037088;4;1302932;3033;54;3033;76;38;28;0;8;0;1;0;1;0;8;0
192;599;1358269823872;4;1302932;3033;46;3033;261;130;2;0;0;0;0;0;0;0;0;0
193;599;1358263305961;4;1302932;3033;320;3033;6;3;32;1;1;1;1;1;1;1;1;1
194;599;1358271409132;4;1302932;3033;53;3033;0;-1;26;26;0;0;0;0;0;0;0;0
195;599;1358261922175;4;1302932;3033;45;3033;26;13;185;1;65;0;0;0;1;0;25;0
196;599;1358261330474;4;1302932;3033;15;3033;227;113;2;1;1;1;1;1;1;1;1;1
197;599;1358264588728;4;1302932;3033;84;3033;211;105;40;7;1;0;1;0;1;0;1;0
198;599;1358266491062;4;1302932;3033;13;3033;95;47;0;0;0;0;0;0;0;0;0;0
199;599;1358268827847;4;1302932;3033;50;3033;210;105;2;1;2;1;2;1;2;1;2;1
200;599;1358264944171;4;1302932;3033;6;3033;4;2;1;1;1;1;1;1;1;1;1;1
201;599;1358271355299;4;1302932;3033;15;3033;224;112;3;1;3;1;3;1;3;1;3;1
202;599;1358278230769;4;1302932;3033;5;3033;0;-1;1;1;0;0;0;0;0;0;0;0
203;599;1358262487472;4;1302932;3033;16;3033;224;112;2;0;2;0;2;0;2;0;2;0
204;599;1358278662973;4;1302932;3033;7;3033;175;87;0;0;0;0;0;0;0;0;0;0
205;599;1358287983148;4;1302932;3033;5;3033;17;8;1;1;1;1;1;1;1;1;1;1
206;599;1358269741253;4;1302932;3033;177;3033;53;26;0;0;0;0;0;0;0;0;0;0
207;599;1358278921108;4;1302932;3033;15;3033;229;114;1;1;1;1;1;1;1;1;1;1
208;599;1358278316016;4;1302932;3033;415;3033;12;-1;137;137;0;0;392;392;0;0;25;25
209;599;1358269185449;4;1302932;3033;10;3033;230;115;1;1;1;1;1;1;1;1;1;1
210;599;1358278631169;4;1302932;3033;10;3033;193;96;3;1;1;1;1;1;1;1;1;1
211;599;1358280167932;4;1302932;3033;6;3033;0;-1;0;0;0;0;392;392;0;0;0;0
212;599;1358261151655;4;1302932;3033;138;3033;48;-1;34;34;0;0;0;0;0;0;0;0
213;599;1358267440016;4;1302932;3033;5;3033;1;0;1;0;0;0;0;0;0;0;0;0
214;599;1358280419778;4;1302932;3033;46;3033;187;93;57;11;29;1;0;0;0;0;8;0
215;599;1358287890503;4;1302932;3033;8;3033;13;6;1;1;1;1;1;1;1;1;1;1
216;599;1358280087696;4;1302932;3033;34;3033;169;84;19;1;17;1;4;1;4;1;4;1
217;599;1358282442510;4;1302932;3033;8;3033;232;116;0;0;0;0;0;0;0;0;0;0
218;599;1358267834935;4;1302932;3033;5;3033;1;-1;0;0;0;0;0;0;0;0;0;0
219;599;1358267519884;4;1302932;3033;10;3033;230;115;2;2;2;2;2;2;2;2;2;2
220;599;1358261783402;4;1302932;3033;10;3033;195;97;0;0;0;0;0;0;0;0;0;0
221;599;1358264650739;4;1302932;3033;5;3033;3;1;0;0;0;0;0;0;0;0;0;0
222;599;1358265163185;4;1302932;3033;488;3033;68;34;70;2;5;1;2;1;5;1;2;1
223;599;1358267059329;4;1302932;3033;11;3033;230;115;2;2;2;2;2;2;2;2;2;2
224;599;1358270362811;4;1302932;3033;16;3033;225;112;4;1;1;1;1;1;1;1;1;1
225;599;1358259923867;4;1302932;3033;16;3033;200;100;0;0;0;0;0;0;0;0;0;0
226;599;1358262945449;4;1302932;3033;9;3033;249;124;1;1;1;1;1;1;1;1;1;1
227;599;1358269268984;4;1302932;3033;5;3033;3;1;0;0;0;0;0;0;0;0;0;0
228;599;1358268050874;4;1302932;3033;188;3033;39;19;62;5;4;2;3;2;4;2;3;2
